country,country_name,region,quarter,year,quarter_num,unemp,cpi,ipi,cci,gdp_growth,period,cpi_yoy,ipi_yoy,cpi_qoq,high_inflation,high_unemp,trend,is_turkiye,group
MEX,Mexico,Americas,2016Q2,2016,2,3.9861166666666654,101.98173333333334,100.06980333333333,37.33233333333333,1.218071559,Normal,2.558711551402948,0.5966413570054563,-0.33416837421125223,0,0,46,0,Other OECD
MEX,Mexico,Americas,2016Q3,2016,3,3.786067000000001,102.5708,100.756,35.56433333333333,0.913387825,Normal,2.784066659912665,0.05267306451477438,0.577619782889216,0,0,47,0,Other OECD
MEX,Mexico,Americas,2016Q4,2016,4,3.632529333333333,104.4106,102.00876666666666,34.986333333333334,2.34175738,Normal,3.243569109311384,0.6742953240479466,1.7936878721819483,0,0,48,0,Other OECD
MEX,Mexico,Americas,2017Q1,2017,1,3.47488,107.4183,103.9211,31.660333333333337,3.052415352,Normal,4.9789393786383584,3.4605488156321584,2.88064621791273,0,0,49,0,Other OECD
MEX,Mexico,Americas,2017Q2,2017,2,3.4772206666666663,108.2005,103.56626666666666,35.46033333333333,2.707974624,Normal,6.097922111541543,3.494024387843142,0.7281813247835833,0,0,50,0,Other OECD
MEX,Mexico,Americas,2017Q3,2017,3,3.276157,109.2204,102.95533333333331,36.571,1.213501432,Normal,6.482936664235828,2.182831129990581,0.9426019288265808,0,0,51,0,Other OECD
MEX,Mexico,Americas,2017Q4,2017,4,3.4467316666666665,111.2953,104.0548,36.32633333333333,1.493353001,Normal,6.593870737262297,2.0057426436878245,1.8997366792284254,0,0,52,0,Other OECD
MEX,Mexico,Americas,2018Q1,2018,1,3.2077686666666665,113.11773333333332,103.95943333333332,34.71666666666667,2.173318524,Normal,5.305830881082008,0.036886958792137214,1.637475556769541,0,0,53,0,Other OECD
MEX,Mexico,Americas,2018Q2,2018,2,3.336591333333333,113.14313333333332,104.47993333333334,36.373666666666665,1.745917692,Normal,4.568031879088652,0.8822048878206257,0.02245448105395731,0,0,54,0,Other OECD
MEX,Mexico,Americas,2018Q3,2018,3,3.236429,114.58543333333334,105.93953333333332,42.83533333333333,2.762056864,Normal,4.9121165398893885,2.8985385247971562,1.2747569892295862,0,0,55,0,Other OECD
MEX,Mexico,Americas,2018Q4,2018,4,3.3671976666666663,116.656,105.4517,42.81866666666667,1.161482668,Normal,4.816645446842771,1.3424657007653717,1.807006882492046,0,0,56,0,Other OECD
MEX,Mexico,Americas,2019Q1,2019,1,3.430574,117.75883333333331,105.0825,47.00333333333333,-0.074740057,Normal,4.102893386595441,1.080293178460967,0.9453721483106747,0,0,57,0,Other OECD
MEX,Mexico,Americas,2019Q2,2019,2,3.5452163333333337,117.91093333333332,105.9455,44.35966666666667,-0.043435826,Normal,4.213954359875727,1.4027254994419813,0.12916228506567595,0,0,58,0,Other OECD
MEX,Mexico,Americas,2019Q3,2019,3,3.4704476666666664,118.381,105.9274,44.245666666666665,-0.446482909,Normal,3.312433837576201,-0.011453074174994082,0.39866249327176195,0,0,59,0,Other OECD
MEX,Mexico,Americas,2019Q4,2019,4,3.42154,120.08613333333334,102.5687,43.72566666666668,-0.986276289,Normal,2.9403831207424735,-2.733953079940865,1.440377538062143,0,0,60,0,Other OECD
MEX,Mexico,Americas,2020Q1,2020,1,3.5145893333333333,121.75596666666668,101.73808666666666,43.31333333333333,-2.190822144,COVID-19 2020,3.3943384289643053,-3.182654898135595,1.3905296864694883,0,0,61,0,Other OECD
MEX,Mexico,Americas,2020Q2,2020,2,4.868870333333334,121.18023333333332,78.16881666666667,31.648,-20.463382344,COVID-19 2020,2.772686050035511,-26.217898196085088,-0.47285841433097886,0,0,62,0,Other OECD
MEX,Mexico,Americas,2020Q3,2020,3,4.9268996666666665,122.99226666666668,100.07080666666668,35.407333333333334,-8.116317641,COVID-19 2020,3.8952759874191667,-5.528874807965945,1.4953208815409402,0,0,63,0,Other OECD
MEX,Mexico,Americas,2020Q4,2020,4,4.427956333333333,124.3141,104.5542,37.798,-3.443340392,COVID-19 2020,3.520778419045878,1.935775728852951,1.074728817638393,0,0,64,0,Other OECD
MEX,Mexico,Americas,2021Q1,2021,1,4.453059,126.611,103.91803333333333,39.51266666666667,-1.573442942,Recovery 2021-22,3.987511631873475,2.142704603644674,1.8476584715651834,0,0,65,0,Other OECD
MEX,Mexico,Americas,2021Q2,2021,2,4.287015333333334,128.393,104.6259,42.934000000000005,22.518821794,Recovery 2021-22,5.952098348272994,33.846083977647524,1.4074606471791595,0,0,66,0,Other OECD
MEX,Mexico,Americas,2021Q3,2021,3,3.996102,130.12519999999998,104.002,43.62966666666667,5.131247594,Recovery 2021-22,5.79949742097603,3.928411755916006,1.349138971750774,0,0,67,0,Other OECD
MEX,Mexico,Americas,2021Q4,2021,4,3.818678,133.00430000000003,106.049,44.81066666666666,1.952040084,Recovery 2021-22,6.990518372413135,1.4296890990510347,2.2125614408277983,0,0,68,0,Other OECD
MEX,Mexico,Americas,2022Q1,2022,1,3.578532333333333,135.8141666666667,108.67156666666666,43.316,2.632139596,Recovery 2021-22,7.26885236406527,4.574310329840103,2.1126134017221077,0,0,69,0,Other OECD
MEX,Mexico,Americas,2022Q2,2022,2,3.2691323333333333,138.37463333333335,109.95513333333334,43.61266666666666,2.876247535,Recovery 2021-22,7.774281567790564,5.0936081155176005,1.885272154966633,0,0,70,0,Other OECD
MEX,Mexico,Americas,2022Q3,2022,3,3.189982666666667,141.20653333333334,111.37656666666668,41.058,4.657125576,Recovery 2021-22,8.515901096277556,7.0907931257732315,2.046545621680651,0,0,71,0,Other OECD
MEX,Mexico,Americas,2022Q4,2022,4,3.0559516666666666,143.6513666666667,112.31726666666668,42.04233333333333,4.655235639,Recovery 2021-22,8.005054473176166,5.910726802390109,1.7313882549343962,0,0,72,0,Other OECD
MEX,Mexico,Americas,2023Q1,2023,1,2.802191,145.94063333333332,111.78226666666666,44.578,3.751784749,Normal,7.4561195751547515,2.862478287022019,1.5936267922732172,0,0,73,0,Other OECD
MEX,Mexico,Americas,2023Q2,2023,2,2.8439623333333333,146.27913333333333,112.43526666666666,44.89933333333334,3.306564624,Normal,5.712390927142463,2.255586672624643,0.2319436282196108,0,0,74,0,Other OECD
